字段名称,中文名称,字段类型 ,字段说明
serial_number,序号,int,数据排序标识，用于区分不同记录
stock_code,股票代码,varchar(20),公司在证券市场的唯一标识代码
stock_abbr,股票简称,varchar(50),公司在证券市场的简称
eps,每股收益(元),"decimal(10,4)",反映普通股股东每持有一股所能享有的企业净利润或需承担的企业净亏损
total_operating_revenue,营业总收入(万元),"decimal(20,2)",公司报告期内日常经营活动实现的全部收入总额
operating_revenue_yoy_growth,营业总收入-同比增长(%),"decimal(10,4)",本期营业总收入较上年同期的变动比例
operating_revenue_qoq_growth,营业总收入-季度环比增长(%),"decimal(10,4)",本季度营业总收入较本年上一季度的变动比例
net_profit_10k_yuan,净利润(万元),"decimal(20,2)",将净利润换算为万元单位的指标
net_profit_yoy_growth,净利润-同比增长(%),"decimal(10,4)",本期净利润较上年同期的变动比例
net_profit_qoq_growth,净利润-季度环比增长(%),"decimal(10,4)",本季度净利润较本年上一季度的变动比例
net_asset_per_share,每股净资产(元),"decimal(10,4)",归属于上市公司股东的净资产除以总股本
roe,净资产收益率(%),"decimal(10,4)",衡量公司运用净资产盈利的能力
operating_cf_per_share,每股经营现金流量(元),"decimal(10,4)",经营活动产生的现金流量净额除以总股本
net_profit_excl_non_recurring,扣非净利润（万元）,"decimal(20,2)",剔除非经常性损益后的净利润
net_profit_excl_non_recurring_yoy,扣非净利润同比增长（%）,"decimal(10,4)",本期扣非净利润较上年同期的变动比例
gross_profit_margin,销售毛利率(%),"decimal(10,4)",（营业总收入-营业成本）/营业总收入×100%
net_profit_margin,销售净利率（%）,"decimal(10,4)",（净利润/营业总收入）×100%
roe_weighted_excl_non_recurring,加权平均净资产收益率（扣非）（%）,"decimal(10,4)",依据扣非净利润计算的净资产收益率
report_period,报告期,varchar(20),数据对应的会计期间。其中，FY=年报（FullYear），Q1=一季度，HY=半年度，Q3=三季度。
report_year,报告期-年份,INT,数据对应的年份。
